timestamp,occupancy_mode,outdoor_air_temp_C,return_air_temp_C,mixed_air_temp_C,supply_air_temp_setpoint_C,supply_air_temp_C,outside_air_damper_pct,fan_status,fan_speed_pct,duct_static_pressure_inwg,duct_static_pressure_setpoint_inwg,heating_valve_cmd_pct,cooling_valve_cmd_pct,zone_reception_temp_C,zone_office1_temp_C,zone_office2_temp_C,zone_office3_temp_C,zone_temp_setpoint_C,filter_dP_inwg,alarm_status,return_air_relative_humidity_pct
2026-02-10 00:00:00,UNOCCUPIED,1.0,19.91,16.82,17.5,20.0,16.3,0,0.0,0.282,0.35,9.1,0.0,20.32,19.81,22.0,19.97296829371514,20.0,0.3297551741018248,OK,76.33943425699074
2026-02-10 00:15:00,UNOCCUPIED,1.07,19.9,17.11,17.5,20.0,15.1,0,0.0,0.261,0.35,4.8,0.0,19.82,19.9,22.0,20.03577252517715,20.0,0.3124671166641065,OK,75.87027422472973
2026-02-10 00:30:00,UNOCCUPIED,1.16,19.86,16.48,17.5,20.0,16.8,0,0.0,0.179,0.35,4.4,0.0,19.8,20.31,22.0,19.64962315992946,20.0,0.3274725494647506,OK,77.75771694529907
2026-02-10 00:45:00,UNOCCUPIED,1.25,19.5,16.19,17.5,20.0,18.6,0,0.0,0.15,0.35,4.2,0.0,19.47,20.17,22.0,19.783024975566825,20.0,0.3391775700091514,OK,77.57241927206354
2026-02-10 01:00:00,UNOCCUPIED,1.35,20.26,16.54,17.5,20.0,19.8,0,0.0,0.189,0.35,5.7,0.0,20.0,20.35,22.0,19.814595129077844,20.0,0.3129016102168942,OK,77.63505058338372
2026-02-10 01:15:00,UNOCCUPIED,1.46,19.88,16.63,17.5,20.0,17.4,0,0.0,0.183,0.35,4.9,0.0,19.88,19.82,22.0,20.20530443931799,20.0,0.3406060577906641,OK,77.75862843554565
2026-02-10 01:30:00,UNOCCUPIED,1.58,20.23,16.58,17.5,20.0,19.4,0,0.0,0.257,0.35,10.3,0.0,20.27,19.84,22.0,20.179480342841085,20.0,0.301770887671962,OK,75.60299047526803
2026-02-10 01:45:00,UNOCCUPIED,1.71,19.88,16.8,17.5,20.0,16.8,0,0.0,0.294,0.35,9.2,0.0,19.87,19.75,22.0,19.800101701865024,20.0,0.3385384114698125,OK,77.27208762251985
2026-02-10 02:00:00,UNOCCUPIED,1.83,20.13,16.71,17.5,20.0,19.1,0,0.0,0.203,0.35,5.2,0.0,19.9,19.88,22.0,19.902404147622804,20.0,0.3435628657702909,OK,75.33050898203093
2026-02-10 02:15:00,UNOCCUPIED,1.97,19.9,16.67,17.5,20.0,19.0,0,0.0,0.305,0.35,5.1,0.0,19.97,20.0,22.0,19.915867628104184,20.0,0.3429293684160818,OK,76.51835807915774
2026-02-10 02:30:00,UNOCCUPIED,2.1,19.74,17.15,17.5,20.0,15.7,0,0.0,0.29,0.35,8.4,0.0,19.59,19.94,22.0,19.83156312396926,20.0,0.3189371970197054,OK,77.13629503245494
2026-02-10 02:45:00,UNOCCUPIED,2.24,19.78,16.79,17.5,20.0,17.1,0,0.0,0.219,0.35,3.9,0.0,20.15,19.71,22.0,19.86335344272007,20.0,0.3385431259656674,OK,75.01048406744258
2026-02-10 03:00:00,UNOCCUPIED,2.38,19.69,16.81,17.5,20.0,16.2,0,0.0,0.273,0.35,5.2,0.0,19.77,19.68,22.0,19.815781672451763,20.0,0.3390450164248861,OK,77.28253223342486
2026-02-10 03:15:00,UNOCCUPIED,2.52,20.0,17.25,17.5,20.0,16.4,0,0.0,0.349,0.35,9.8,0.0,19.6,20.19,22.0,19.92115530142881,20.0,0.3180429977900753,OK,75.79363525336208
2026-02-10 03:30:00,UNOCCUPIED,2.66,19.84,16.67,17.5,20.0,18.0,0,0.0,0.219,0.35,1.2,0.0,20.02,20.12,22.0,20.009614072753973,20.0,0.3280077304665915,OK,76.54636508595954
2026-02-10 03:45:00,UNOCCUPIED,2.8,19.95,16.89,17.5,20.0,17.9,0,0.0,0.256,0.35,4.8,0.0,20.18,20.05,22.0,19.95445689281401,20.0,0.3173463706631231,OK,76.0998551020662
2026-02-10 04:00:00,UNOCCUPIED,2.93,19.66,16.61,17.5,20.0,19.5,0,0.0,0.23,0.35,8.9,0.0,19.97,19.75,22.0,19.75788252970533,20.0,0.3390980086765259,OK,76.9282290097326
2026-02-10 04:15:00,UNOCCUPIED,3.07,20.19,17.28,17.5,20.0,16.8,0,0.0,0.25,0.35,10.1,0.0,20.29,19.94,22.0,19.76831310644744,20.0,0.3254819255459863,OK,76.85135926491128
2026-02-10 04:30:00,UNOCCUPIED,3.21,19.89,17.22,17.5,20.0,15.7,0,0.0,0.252,0.35,4.8,0.0,19.62,19.84,22.0,19.857401847991152,20.0,0.3324969305290682,OK,75.48649254144448
